grid_value,predicted_risk,S_FC,sfc_level
0.0,0.5546009996408424,0.0,0.0
0.025,0.55342390012177,0.0,0.0
0.05,0.5521945598793888,0.0,0.0
0.07500000000000001,0.5509370362150444,0.0,0.0
0.1,0.5496245360929576,0.0,0.0
0.125,0.5482567515487498,0.0,0.0
0.15000000000000002,0.5468198433209133,0.0,0.0
0.17500000000000002,0.5453069762082359,0.0,0.0
0.2,0.5437480320540815,0.0,0.0
0.225,0.5421547627592233,0.0,0.0
0.25,0.5405038678838251,0.0,0.0
0.275,0.5388058698529926,0.0,0.0
0.30000000000000004,0.5370765648383877,0.0,0.0
0.325,0.535323755268184,0.0,0.0
0.35000000000000003,0.533554848643242,0.0,0.0
0.375,0.5317535803081669,0.0,0.0
0.4,0.5299511152233117,0.0,0.0
0.42500000000000004,0.528138614107404,0.0,0.0
0.45,0.5263173697945792,0.0,0.0
0.47500000000000003,0.5244972074107085,0.0,0.0
0.5,0.5226798307877938,0.0,0.0
0.525,0.5208723766741101,0.0,0.0
0.55,0.5190558422563932,0.0,0.0
0.5750000000000001,0.5172510897571378,0.0,0.0
0.6000000000000001,0.5154395874392593,0.0,0.0
0.625,0.5136351961925179,0.0,0.0
0.65,0.5118429008079785,0.0,0.0
0.675,0.5100643803196666,0.0,0.0
0.7000000000000001,0.5083127198227408,0.0,0.0
0.7250000000000001,0.5065945632354559,0.0,0.0
0.75,0.5049050671357261,0.0,0.0
0.775,0.5032687015331841,0.0,0.0
0.8,0.5016709165313455,0.0,0.0
0.8250000000000001,0.5001160490490346,0.0,0.0
0.8500000000000001,0.4986134529479831,0.0,0.0
0.875,0.49714944109139325,0.0,0.0
0.9,0.49571809784357673,0.0,0.0
0.925,0.4943340024854137,0.0,0.0
0.9500000000000001,0.4929933719557619,0.0,0.0
0.9750000000000001,0.4917389836853293,0.0,0.0
1.0,0.4905509850338667,0.0,0.0
0.0,0.49671772477660375,0.5,0.5
0.025,0.4938462024610664,0.5,0.5
0.05,0.49103208681166854,0.5,0.5
0.07500000000000001,0.48829327757337027,0.5,0.5
0.1,0.4856902209582631,0.5,0.5
0.125,0.48318019721667643,0.5,0.5
0.15000000000000002,0.4807605305308923,0.5,0.5
0.17500000000000002,0.4784932139929942,0.5,0.5
0.2,0.4762640950505757,0.5,0.5
0.225,0.47412248418997766,0.5,0.5
0.25,0.47210359309004657,0.5,0.5
0.275,0.4702855013809839,0.5,0.5
0.30000000000000004,0.46855743717344256,0.5,0.5
0.325,0.4669413945721506,0.5,0.5
0.35000000000000003,0.46547241477577944,0.5,0.5
0.375,0.464148897953758,0.5,0.5
0.4,0.4629336443309008,0.5,0.5
0.42500000000000004,0.4618286925527177,0.5,0.5
0.45,0.4608522414415132,0.5,0.5
0.47500000000000003,0.45997921541537024,0.5,0.5
0.5,0.4592265029552637,0.5,0.5
0.525,0.45857243090875915,0.5,0.5
0.55,0.45801487318670264,0.5,0.5
0.5750000000000001,0.4575627898045831,0.5,0.5
0.6000000000000001,0.4572102719365224,0.5,0.5
0.625,0.456965160193637,0.5,0.5
0.65,0.45680076710167944,0.5,0.5
0.675,0.456735196555219,0.5,0.5
0.7000000000000001,0.4567423654046825,0.5,0.5
0.7250000000000001,0.4568444901374642,0.5,0.5
0.75,0.4570079554459662,0.5,0.5
0.775,0.4572302928881093,0.5,0.5
0.8,0.4574974624515893,0.5,0.5
0.8250000000000001,0.4578164995124235,0.5,0.5
0.8500000000000001,0.45817753710902653,0.5,0.5
0.875,0.4585425400709424,0.5,0.5
0.9,0.45893879101556156,0.5,0.5
0.925,0.459393722662564,0.5,0.5
0.9500000000000001,0.45987049567584926,0.5,0.5
0.9750000000000001,0.4603620769753534,0.5,0.5
1.0,0.4608645326406375,0.5,0.5
0.0,0.4578313289660765,1.0,1.0
0.025,0.4536211774621404,1.0,1.0
0.05,0.4497070666796577,1.0,1.0
0.07500000000000001,0.4461405893725119,1.0,1.0
0.1,0.44277788250821487,1.0,1.0
0.125,0.4398590041401137,1.0,1.0
0.15000000000000002,0.43732866343555765,1.0,1.0
0.17500000000000002,0.4350762909585196,1.0,1.0
0.2,0.43305603027967327,1.0,1.0
0.225,0.4313030114863959,1.0,1.0
0.25,0.42983131045881967,1.0,1.0
0.275,0.42862129508802177,1.0,1.0
0.30000000000000004,0.42759509911355986,1.0,1.0
0.325,0.4266586501599323,1.0,1.0
0.35000000000000003,0.42579034324354587,1.0,1.0
0.375,0.4250488181920041,1.0,1.0
0.4,0.42439969544533757,1.0,1.0
0.42500000000000004,0.4238307797453902,1.0,1.0
0.45,0.4233500892159949,1.0,1.0
0.47500000000000003,0.4229522748014722,1.0,1.0
0.5,0.4226594018079978,1.0,1.0
0.525,0.42252139544250344,1.0,1.0
0.55,0.422521143025386,1.0,1.0
0.5750000000000001,0.422648937144547,1.0,1.0
0.6000000000000001,0.4228779868735865,1.0,1.0
0.625,0.42316524296042574,1.0,1.0
0.65,0.42358505479279607,1.0,1.0
0.675,0.4241056987205667,1.0,1.0
0.7000000000000001,0.424706827868732,1.0,1.0
0.7250000000000001,0.4253619158250435,1.0,1.0
0.75,0.42610702768305553,1.0,1.0
0.775,0.4269662719027935,1.0,1.0
0.8,0.42795255566004214,1.0,1.0
0.8250000000000001,0.4290480908507939,1.0,1.0
0.8500000000000001,0.43026762215049785,1.0,1.0
0.875,0.43158557552674237,1.0,1.0
0.9,0.4330051161132604,1.0,1.0
0.925,0.434520028134511,1.0,1.0
0.9500000000000001,0.43611042269556677,1.0,1.0
