train_cutoff,eval_year,n_train,n_test,auc,brier,observed_rate,mean_predicted_rate
2018,2019,1167,333,0.5279950746052441,0.25959089830697385,0.46846846846846846,0.4506869162128779
2019,2020,1500,639,0.5255892783666751,0.25621947973280346,0.49608763693270735,0.43737770053766206
2020,2021,2139,806,0.578473569163511,0.2490080954464728,0.5024813895781638,0.490446400832344
2021,2022,2945,918,0.5159969223577078,0.2543694537939788,0.579520697167756,0.5218064273503978
2022,2023,3863,325,0.5639297076200576,0.26043173512585965,0.5046153846153846,0.6025895108864036
