window,train_cutoff,eval_year,n,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,brier_lo,brier_hi,obs_rate
2018->2019,2018.0,2019.0,333,0.5279950746052441,0.4615805797061394,0.5986656471402635,0.5103190345758132,0.4426798833712551,0.5977283184088549,0.25959089830697385,0.24376706869947443,0.2758073205174967,0.46846846846846846
2019->2020,2019.0,2020.0,639,0.5255892783666751,0.4813878722302125,0.5693430152276449,0.49394707015475636,0.44681731494763915,0.5512609989049824,0.25621947973280346,0.24911755762486504,0.2632465787741835,0.49608763693270735
2020->2021,2020.0,2021.0,806,0.578473569163511,0.5424131790542668,0.6187692458497231,0.5802927139692837,0.5295485755126432,0.6351921739467605,0.2490080954464728,0.24021302103797187,0.2570498763705429,0.5024813895781638
2021->2022,2021.0,2022.0,918,0.5159969223577078,0.4819821598643651,0.5523991889160996,0.6076858767622098,0.5638873965874129,0.6557990753717936,0.2543694537939788,0.2475306875884388,0.26075338705785117,0.579520697167756
2022->2023,2022.0,2023.0,325,0.5639297076200576,0.5012935604626021,0.6241102815681095,0.5582700344845084,0.48388173184269256,0.6464266082538161,0.26043173512585965,0.24419917529830182,0.2774908389652083,0.5046153846153846
rolling 2022+2023 (approx. holdout),,,1243,0.518336695454832,0.48745871626247506,0.5503455402077527,0.5848636905329793,0.5458861037920854,0.6250766100220028,0.2559545233296677,0.24928954697874245,0.26283964571671664,0.5599356395816573
